,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,event_type,cumulative_mins,index,id,match_string,team_name,Venue,xThreat,xThreat_gen,playerName,is_open_play,is_progressive,is_pass_into_box,won_possession,is_carry_into_box,progressive_carry
32,20.0,1.0,2.0,26,53.8,4.7,1.0,1.0,,Successful,"[{'StandingSave': True}, {'Length': '12.4'}, {'PassEndX': '48.8'}, {'Zone': 'Back'}, {'Angle': '2.0'}, {'PassEndY': '21.2'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",True,108226.0,48.8,21.2,,,,,,,,,,,1694372,Pass,1.0333333333333334,29.0,2520481083.0,Real Madrid - Liverpool,Liverpool,Away,2.3591324515208e-05,2.3591324515208e-05,Mohamed Salah,True,False,,False,,
33,20.5,1.0,3.5,26,48.8,21.2,1.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,318871.0,60.2,23.1,,,,,,21.0,,,,,1694372,Carry,1.0583333333333331,,,,,,0.003440387100847,0.003440387100847,Trent Alexander-Arnold,True,False,,False,,
34,21.0,1.0,5.0,26,60.2,23.1,1.0,1.0,,Unsuccessful,"[{'PassEndY': '13.4'}, {'Angle': '6.1'}, {'Longball': True}, {'PassEndX': '100.0'}, {'Length': '43.6'}, {'StandingSave': True}, {'Zone': 'Right'}]","['touches', 'passInaccurate', 'passLongBallInaccurate', 'passForward', 'passRight', 'finalThird', 'pos']",True,318871.0,100.0,13.4,,,,,,,,,,,1694372,Pass,1.0833333333333333,30.0,2520481115.0,Real Madrid - Liverpool,Liverpool,Away,,,Trent Alexander-Arnold,True,False,,False,,
35,16.0,1.0,27.0,52,4.1,58.6,1.0,1.0,,Successful,"[{'Zone': 'Back'}, {'Angle': '4.8'}, {'Length': '19.6'}, {'PassEndY': '29.9'}, {'GoalKick': True}, {'PassEndX': '5.3'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,73798.0,5.3,29.9,,,,,,,,,,,1694372,Pass,1.45,31.0,2520481279.0,Real Madrid - Liverpool,Real Madrid,Home,-0.0009450135173612,0.0,Thibaut Courtois,False,False,,False,,
36,17.0,1.0,29.0,52,5.3,29.7,1.0,1.0,,Successful,"[{'Angle': '5.2'}, {'StandingSave': True}, {'Zone': 'Back'}, {'Length': '15.3'}, {'PassEndX': '11.5'}, {'PassEndY': '9.4'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,337879.0,11.5,9.4,,,,,,,,,,,1694372,Pass,1.4833333333333334,32.0,2520481297.0,Real Madrid - Liverpool,Real Madrid,Home,-0.0006589869639308,0.0,Éder Militão,True,False,,False,,
37,18.0,1.0,32.0,52,13.5,9.1,1.0,1.0,,Unsuccessful,"[{'StandingSave': True}, {'Length': '30.5'}, {'PassEndX': '38.6'}, {'Zone': 'Back'}, {'Angle': '0.5'}, {'Chipped': True}, {'PassEndY': '31.6'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passChipped', 'passForward', 'passLeft', 'midThird', 'pos']",True,106883.0,38.6,31.6,,,,,,,,,,,1694372,Pass,1.5333333333333332,33.0,2520481313.0,Real Madrid - Liverpool,Real Madrid,Home,,,Daniel Carvajal,True,True,,False,,
38,23.0,1.0,34.0,26,61.5,72.9,1.0,1.0,,Successful,"[{'Zone': 'Left'}, {'PassEndY': '80.9'}, {'Length': '13.0'}, {'PassEndX': '72.7'}, {'Angle': '0.4'}, {'HeadPass': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passHead', 'successfulFinalThirdPasses', 'passForward', 'passLeft', 'finalThird', 'pos']",True,352825.0,72.7,80.9,,,,,,,,,,,1694372,Pass,1.5666666666666669,34.0,2520481333.0,Real Madrid - Liverpool,Liverpool,Away,0.0058905009899313,0.0058905009899313,Cody Gakpo,True,False,,False,,
39,24.0,1.0,34.0,26,72.7,80.9,1.0,1.0,,Successful,[],['ballRecovery'],False,235755.0,,,,,,,,,,,,,1694372,BallRecovery,1.5666666666666669,35.0,2520481339.0,Real Madrid - Liverpool,Liverpool,Away,,,Diogo Jota,True,False,,True,,
40,25.0,1.0,35.0,26,72.7,80.9,1.0,1.0,,Successful,"[{'PassEndX': '63.9'}, {'StandingSave': True}, {'Length': '11.2'}, {'PassEndY': '71.7'}, {'Angle': '3.7'}, {'Zone': 'Center'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",True,235755.0,63.9,71.7,,,,,,,,,,,1694372,Pass,1.5833333333333337,36.0,2520481345.0,Real Madrid - Liverpool,Liverpool,Away,-0.0047680938239139,0.0,Diogo Jota,True,False,,False,,
41,26.0,1.0,36.0,26,63.9,71.7,1.0,1.0,,Successful,"[{'Zone': 'Left'}, {'Length': '17.1'}, {'PassEndX': '70.5'}, {'Angle': '1.2'}, {'PassEndY': '94.7'}, {'StandingSave': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passForward', 'passLeft', 'finalThird', 'pos']",True,115916.0,70.5,94.7,,,,,,,,,,,1694372,Pass,1.6,37.0,2520481373.0,Real Madrid - Liverpool,Liverpool,Away,0.0034378737361009,0.0034378737361009,Fabinho,True,False,,False,,
